Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Tour du monde en quatre-vingts jours,Around the world in 80 days ; Tour du monde en 80 jours. English,14889382,Monograph,Language material ; Text,Volume,GBA908354,9781600103940,"Millien, Chrys",,person,,"Verne, Jules, 1828-1905 [person] ; Millien, Chrys [person]",,,United States of America,"San Diego, California",,2009,,"58 pages, colour illustrations, colour maps, 30 cm",741.5944,YK.2011.b.12180,"Wagers--Comic books, strips, etc--Fiction ; Voyages around the world--Comic books, strips, etc--Fiction",Adventure ; Comic or graphic novel ; Fiction ; Novel,English,Translated from the French
Tour of duty. Mega-City justice,2000 AD ; Judge Dredd. Tour of duty. Mega-City justice,15776824,Monograph,Language material ; Text,Volume,GBB137616,9781907992391,"Wagner, John",1949-,person,,"Critchlow, Carl, 1963- [person] ; Ezquerra, Carlos [person] ; Wagner, John, 1949- [person]",,,England,Oxford,Rebellion,2011,,"approximately 200 pages, chiefly colour illustrations, 26 cm",741.5941,YK.2011.b.12641,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"'Judge Dredd created by John Wagner & Carlos Ezquerra.' ; 'Originally serialised in 2000 AD progs 1649, 1650-1655, 1656, 1657, 1658, 1659-1663, 1664-1667, 1674-1686 & 1687-1693'--Facing t.p"
Tour of duty. The backlash,Judge Dredd. Tour of duty. The backlash,15590100,Monograph,Language material ; Text,Volume,GBB079340,9781907519239,"Wagner, John",1949-,person,,"Dayglo, Rufus [person] ; Ewing, Al [person] ; Wagner, John, 1949- [person]",,,England,Oxford,Rebellion,2010,,"approximately 250 pages, chiefly colour illustrations, 26 cm",741.5941,YK.2011.b.12796,"Science fiction comic books, strips, etc ; Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,"'Judge Dredd created by John Wagner & Carlos Ezquerra.' ; 'Originally serialised in 2000 AD progs 1520, 1536, 1542-1548, 2008, 1569-1581, 1589-1603, 1611-1612 & 1628-1633 c2009, 2010'--Facing t.p"
Tournament of Elements,,17471284,Monograph,Language material ; Still image ; Text,Volume,GBB5A4886,9781510200494,"Farshtey, Greg",,person,author,"Farshtey, Greg, author [person]",Lego Ninjago,1 [Lego Ninjago],England,London,"Little, Brown",2015,,"1 volume, chiefly illustrations, 23 cm",741.5,,"LEGO toys--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Fantasy,English,
Tournament of Elements,"LEGO Ninjago, masters of spinjitzu (Television program)",17606477,Monograph,Language material ; Text,Online resource,GBB739833,9781510200487,Blue Ocean Entertainment,,organisation,author ; illustrator,"Blue Ocean Entertainment, author ; illustrator [organisation] ; Farshtey, Greg, author [person] ; Caravan Studio, illustrator [organisation]","LEGO Ninjago, masters of Spinjitzu",,England ; United Kingdom,London,"Little, Brown",2015,,1 online resource (80 pages),741.5943,ELD.DS.39111,"Good and evil--Comic books, strips, etc ; JUVENILE FICTION / Toys, Dolls & Puppets ; Adventure stories (Children's / Teenage) ; JUVENILE FICTION / Comics & Graphic Novels / Media Tie-In ; Robots ; Ninja ; LEGO toys--Comic books, strips, etc ; Ninja--Comic books, strips, etc ; JUVENILE FICTION / Action & Adventure / General ; Robots--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
Toutes les larmes de l'enfer. English,All the tears of hell,15551586,Monograph,Language material ; Text,Volume,GBB061193,9781849180511,"Hamme, Jean van",1939-,person,,"Hamme, Jean van, 1939- [person] ; Vance, William, 1935- [person]",XIII,3 [XIII],England,Canterbury,Cinebook,2010,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2011.b.4700,"Amnesiacs--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Suspense fiction,English,Translated from the French
Tower of Babel,,6899752,Monograph,Language material ; Text,Volume,GBA1X5538,9781840233049,"Waid, Mark",1962-,person,,"Porter, Howard [person] ; Waid, Mark, 1962- [person]",,,England,London,Titan,2001,,"160 pages, all colour illustrations, 26 cm",741.5973,,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Tower of Babel,,19483672,Monograph,Language material ; Still image ; Text,Volume,GBB9D0478,9781401291846,"Waid, Mark",1962-,person,author,"Waid, Mark, 1962-, author [person] ; Porter, Howard, artist [person]",JLA,,United States of America,"Burbank, California",DC Comics,2019,DC essential edition,"1 volume, chiefly illustrations, 28 cm",741.5,,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published: 2001
Tower of fate,Earth 2. Volume 2. The tower of fate,16472737,Monograph,Language material ; Still image ; Text,Volume,GBB371752,9781401243111 ; 9781401246143,"Robinson, James",1963-,person,author,"Robinson, James, 1963-, author [person] ; Scott, Nicola, illustrator [person]",The New 52!,,United States of America,New York,DC Comics,2013,,"1 volume (unpaged), colour illustrations, 27 cm",741.5973,YKL.2016.b.3338,,Comic or graphic novel ; Novel,English,"'Originally published in single magazine form as Earth 2, 0, 7-12; DC Universe Presents.'"
Towerkind,,17038948,Monograph,Language material ; Still image ; Text,Volume,GBB514976,9781894994910,"Verhoeven, Kat",,person,author,"Verhoeven, Kat, author [person]",,,Canada,Wolfville,Conundrum,2015,,"1 volume, chiefly black and white illustrations, 21 cm",741.5,,"Toronto (Ont.)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Town of evening calm, country of cherry blossoms",,13567841,Monograph,Language material ; Text,Volume,GBA684065,9780867196658,"Kōno, Fumiyo",1968-,person,,"Kōno, Fumiyo, 1968- [person]",,,England ; United States of America,"London ; San Francisco, California",Last Gasp ; Turnaround,2007,,"104 pages, chiefly illustrations, 23 cm",741.5,,"Hiroshima-shi (Japan)--History--Bombardment, 1945--Personal narratives, Japanese--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Personal narrative,English,
"Town of evening calm, country of cherry blossoms",,15307810,Monograph,Language material ; Text,Volume,GBA967419,9780867197211,"Kōno, Fumiyo",1968-,person,,"Kōno, Fumiyo, 1968- [person]",,,England ; United States of America,"London ; San Francisco, California",Last Gasp ; Turnaround,2009,Collector's edition,"1 volume, chiefly illustrations, 18 cm",741.5,,"Hiroshima-shi (Japan)--History--Bombardment, 1945--Personal narratives, Japanese--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Personal narrative,English,Originally published: 2006
Toxic planet,,15271170,Monograph,Language material ; Text,Volume,GBA954423,9780759529281,"Ratte, David",,person,,"Ratte, David [person]",,,United States of America,New York,,2009,,"approximately 150 pages, chiefly colour illustrations, 23 cm",741.5944,YK.2010.a.28512,"Pollution--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Translated from the French
Toy box,,16521821,Monograph,Language material ; Still image ; Text,Volume,GBB395985,9781937867843,,,,,"QuinRose (Firm), author [organisation]",Alice love fables,,United States of America,New York,Seven Seas,2014,,"1 volume, chiefly colour illustrations, 21 cm",741.5952,,"Fantasy comic books, strips, etc ; Alice (Fictitious character : QuinRose)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,Translated from the Japanese
Toy breaker,Benny and Penny in the toy breaker,15479647,Monograph,Language material ; Text,Volume,GBB012688,9781935179078,"Hayes, Geoffrey",,person,,"Hayes, Geoffrey [person]",A toon book,,England ; United States of America,London ; New York,Diamond ; Toon,2010,,"32 pages, chiefly colour illustrations, 24 cm",741.5941,YK.2011.a.18092,"Bullying--Comic books, strips, etc--Juvenile fiction ; Brothers and sisters--Comic books, strips, etc--Juvenile fiction ; Mice--Comic books, strips, etc--Juvenile fiction ; Cousins--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,
Toy breaker,Benny and Penny in the toy breaker,16285195,Monograph,Language material ; Still image ; Text,Volume,GBB318312,9781935179283,"Hayes, Geoffrey",,person,,"Hayes, Geoffrey [person]",,,United States of America,New York,Toon,2013,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Benny (Fictitious character : Hayes)--Comic books, strips, etc--Juvenile fiction ; Penny (Fictitious character : Hayes)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,Originally published: 2010
Toy story (Motion picture),Disney Pixar Toy story ; Return of Buzz Lightyear ; Toy story. The return of Buzz Lightyear,15814289,Monograph,Language material ; Text,Volume,GBB162658,9781846531583,"Snider, Jesse Blaze",1982-,person,,"Sparrow, Aaron [person] ; Snider, Jesse Blaze, 1982- [person] ; Watson, Nathan [person]",Disney pocket stories,,England,Tunbridge Wells,Panini,2011,,"approximately 100 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2011.a.33004,"Toys--Comic books, strips, etc--Juvenile fiction ; Lightyear, Buzz (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,
Toy story 2,,7722169,Monograph,Language material ; Text,Volume,GB99U8376,9780749742966,,,,,,,,England,London,Egmont,2000,,"1 volume (unpaged), chiefly colour illustrations, 30 cm",741.5,YK.2010.b.4186,"Toys--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,Film tie-in
Toy story 2,Toy story : Toy story 2 ; Toy story and Toy story 2,15292361,Monograph,Language material ; Text,Volume,GBA960062,9781846531019,,,,,,Disney pocket stories,,England,Tunbridge Wells,Panini,2009,,"98 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2010.a.25993,"Toys--Comic books, strips, etc--Juvenile fiction ; Graphic novels ; Children's stories, American",Children's fiction ; Comic or graphic novel,English,
Toy story : Toy story 2,Toy story 2 ; Toy story and Toy story 2,15292361,Monograph,Language material ; Text,Volume,GBA960062,9781846531019,,,,,,Disney pocket stories,,England,Tunbridge Wells,Panini,2009,,"98 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2010.a.25993,"Toys--Comic books, strips, etc--Juvenile fiction ; Graphic novels ; Children's stories, American",Children's fiction ; Comic or graphic novel,English,
Toy story and Toy story 2,Toy story 2 ; Toy story : Toy story 2,15292361,Monograph,Language material ; Text,Volume,GBA960062,9781846531019,,,,,,Disney pocket stories,,England,Tunbridge Wells,Panini,2009,,"98 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2010.a.25993,"Toys--Comic books, strips, etc--Juvenile fiction ; Graphic novels ; Children's stories, American",Children's fiction ; Comic or graphic novel,English,
Toy story digest,,16135526,Monograph,Language material ; Text,Volume,GBB274780,9780785165064,"Orsi, Tea",,person,,"Orsi, Tea [person] ; Leoni, Lucio [person] ; Dalena, Antonello [person]",,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 19 cm",741.5,,"Toys--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,
Toy story. The mysterious stranger,Disney Pixar Toy story ; Mysterious stranger,15578664,Monograph,Language material ; Text,Volume,GBB073398,9781846531309,"Jolley, Dan",,person,,"Jolley, Dan [person] ; Moreno, Chris [person] ; Morrissey, Paul [person]",Disney pocket stories,,England,Tunbridge Wells,Panini,2010,,"97 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2011.a.22071,"Toys--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,
Toy story. The return of Buzz Lightyear,Disney Pixar Toy story ; Return of Buzz Lightyear ; Toy story (Motion picture),15814289,Monograph,Language material ; Text,Volume,GBB162658,9781846531583,"Snider, Jesse Blaze",1982-,person,,"Sparrow, Aaron [person] ; Snider, Jesse Blaze, 1982- [person] ; Watson, Nathan [person]",Disney pocket stories,,England,Tunbridge Wells,Panini,2011,,"approximately 100 pages, chiefly colour illustrations, 20 cm",741.5973,YK.2011.a.33004,"Toys--Comic books, strips, etc--Juvenile fiction ; Lightyear, Buzz (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Novel,English,
Toyetica. Volume 1,,18542436,Monograph,Language material ; Still image ; Text,Volume,GBB7I6635,9781632293039,"LeGrow, M. Alice (Marty Alice)",,person,artist ; author,"LeGrow, M. Alice (Marty Alice), artist ; author [person]",,,United States of America,Ashland,Action Lab Entertainment,2017,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.5537,"Children's stories, American",Comic or graphic novel,English,'Collects issues #1-4'--Back cover
Toyetica. Volume 2,Giants ; Toyetica. Volume two,18785598,Monograph,Language material ; Still image ; Text,Volume,GBB847274,9781632293657,"LeGrow, M. Alice (Marty Alice)",,person,artist ; author,"Birch, Justin, artist [person] ; LeGrow, M. Alice (Marty Alice), artist ; author [person]",,,United States of America,"Pittsburgh, Pennsylvania",Action Lab Entertainment,2017,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm",741.5973,YKL.2019.b.5375,"Action figures (Toys)--Comic books, strips, etc ; Toys--Comic books, strips, etc",Children's fiction ; Comic or graphic novel,English,'Collects issues #5-8' --back cover
Toyetica. Volume two,Giants ; Toyetica. Volume 2,18785598,Monograph,Language material ; Still image ; Text,Volume,GBB847274,9781632293657,"LeGrow, M. Alice (Marty Alice)",,person,artist ; author,"Birch, Justin, artist [person] ; LeGrow, M. Alice (Marty Alice), artist ; author [person]",,,United States of America,"Pittsburgh, Pennsylvania",Action Lab Entertainment,2017,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm",741.5973,YKL.2019.b.5375,"Action figures (Toys)--Comic books, strips, etc ; Toys--Comic books, strips, etc",Children's fiction ; Comic or graphic novel,English,'Collects issues #5-8' --back cover
Tozzer 2 : special edition,,13279403,Monograph,Language material ; Text,Volume,GBA571644,9780954300814,"Dunlop, Rob",,person,,"Lumby, Peter [person] ; Erbes, Eric [person] ; Dunlop, Rob [person]",,,England,London,Ablaze,2005,,"118 pages, chiefly colour illustrations, 26 cm",741.5,YK.2006.b.1834,"Hollywood (Los Angeles, Calif.)--Comic books, strips, etc",Comic or graphic novel ; Humour or satire ; Novel,English,
Tozzer and the invisible lap dancers,,10126732,Monograph,Language material ; Text,Volume,GBA2U4166,9780954300807,"Dunlop, Rob",,person,,"Lumby, Peter [person] ; Dunlop, Rob [person]",,,England,London,Ablaze,2002,,"80 pages, colour illustrations, 21 cm",741.5,YK.2003.a.3243,"Hollywood (Los Angeles, Calif.)--Comic books, strips, etc",Comic or graphic novel ; Humour or satire ; Novel,English,
Trace Adkins is Luke McBain. Volume I,Luke McBain,16035354,Monograph,Language material ; Text,Volume,GBB217955,9780983693727,"Tischman, David",,person,,"Chamberlain, Kody [person] ; Tischman, David [person]",,,United States of America,"Pelham, Alabama",12-Gauge Comics,2012,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.11858,"Country musicians--Comic books, strips, etc ; Fathers and sons--Comic books, strips, etc ; Brothers--Comic books, strips, etc ; Adkins, Trace",Comic or graphic novel,English,Graphic art format ; Originally published in single comic book form
Traces of the great war,,19103029,Monograph,Language material ; Still image ; Text,Volume,GBB8J6776,9781534311503,,,,,,,,United States of America,Berkeley,Image Comics,2018,,"1 volume, chiefly illustrations",741.5941,,"World War, 1914-1918--Comic books, strips, etc--Fiction ; Graphic novels ; War stories",Comic or graphic novel ; Fiction,English,
Tracker,,15584292,Monograph,Language material ; Text,Volume,GBB076142,9781607061977,"Lincoln, Jonathan",,person,,"Tsai, Francis [person] ; Lincoln, Jonathan [person]",,,United States of America,Los Angeles,Top Cow Productions,2010,,"139 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.9502,"United States--Federal Bureau of Investigation--Officials and employees--Comic books, strips, etc--Fiction ; Werewolves--Comic books, strips, etc--Fiction",Comic or graphic novel ; Detective and mystery ; Fiction,English,'Originally published in single magazine form as Tracker volume 1 issue #0-5'--T.p. verso ; 'volume 1'--Spine
Traed wadin,,14612070,Monograph,Language material ; Text,Volume,GBA916532,9781906587000,Morris,1923-2001,person,,"Jones, Dafydd, dr [person] ; Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",Lewsyn Lwcus,,Wales,Tresaith,Dalen,2008,,"47 pages, colour illustrations, 30 cm",741.5944,YK.2009.b.7360,"Cowboys--Comic books, strips, etc ; Lucky Luke, (Fictitious character)--Comic books, strips, etc",Children's fiction ; Comic or graphic novel ; Western,Welsh,"Cyhoeddwyd yn wreiddiol = Originally published: Paris : Dargaud, 1968"
Tragedy and the triumph,Invincible Iron Man ; Iron Man and Sub-Mariner ; Tales of suspense ; The invincible Iron Man. the tragedy and the triumph,16881527,Monograph,Language material ; Still image ; Text,Volume,GBB605051,9781909766105,"Lee, Stan",1922-2018,person,author ; editor,"Craig, Johnny, 1926-2001, illustrator [person] ; Colan, Gene, illustrator [person] ; Goodwin, Archie, author [person] ; Lee, Stan, 1922-2018, author ; editor [person]",The ultimate graphic novels collection,,England,London,Hachette,2014,Special edition,"1 volume (unpaged), colour illustrations, 27 cm",741.5973,YKL.2016.b.172,"Iron Man, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel,English,"'Collecting Tales of Suspense #91-99, Iron Man and Sub-Mariner #1 and Invincible Iron Man #1-4.'--Back cover"
Trail of steel : 1441 A.D,,16230708,Monograph,Language material ; Text,Volume,GBB318459,9781933492780 ; 9781933492827,"Mateu-Mestre, Marcos",,person,,"Mateu-Mestre, Marcos [person]",,,United States of America,"Culver City, California",Design Studio,2012,1st edition,"127 pages, illustrations, 28 cm",741.5973,YK.2013.b.3163,"Middle Ages--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
Trail of tears,Ghost Ride. Trail of tears,13784077,Monograph,Language material ; Text,Volume,GBA751485,9780785120032 ; 9780785120049,"Ennis, Garth",,person,,"Ennis, Garth [person] ; Crain, Clayton [person]",,,England ; United States of America,London ; New York,Diamond ; Marvel Publishing,2007,,"approximately 100 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2008.b.1519,"Young adult fiction, English ; Ghost Rider (Fictitious character)--Comic books, strips, etc ; Horror comic books, strips, etc",Comic or graphic novel,English,'Contains material originally published in magazine form as Ghost Ride: trail of tears #1-6.'
Trail of the catwoman,,18631708,Monograph,Language material ; Still image ; Text,Volume,GBB952439,,"Brubaker, Ed",,person,author,"Sattler, Ian, editor [person] ; Brubaker, Ed, author [person] ; Rader, Brad, artist [person] ; Idelson, Matt, editor [person] ; Cooke, Darwyn, artist [person]",Catwoman ; DC Comics graphic novel collection ; Eaglemoss collections,36 [DC Comics graphic novel collection],England,London,Eaglemoss,2015,,"1 volume (unpaged), colour illustrations, 27 cm",741.5973,YKL.2019.b.1813,,Comic or graphic novel,English,
Trail of the fox,"Year one ; Zorro. Volume 1. Year one, trail of the fox",15398843,Monograph,Language material ; Text,Volume,GBB003800,9781606900130 ; 9781606900192 ; 9781606900260 ; 9781933305936,"Wagner, Matt",,person,,"Wagner, Matt [person] ; Francavilla, Francesco [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2009,,"208 pages, chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.307,"Zorro, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Novel ; Young adult fiction,English,"'This volume collects issues one through eight of Dynamite Entertainment series, Zorro.'"
Trail's end,,16103530,Monograph,Language material ; Text,Volume,GBB257677,9781781164891,"Aaron, Jason",,person,,"Guéra, R. M. [person] ; Aaron, Jason [person] ; Jock, 1972- [person]",Scalped,volume 10 [Scalped],England,London,Titan,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Undercover operations--Comic books, strips, etc--Fiction ; Indians of North America--Great Plains--Comic books, strips, etc--Fiction ; Dashiell Bad Horse (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
Train bleu. English,The mystery of the blue train,13698939,Monograph,Language material ; Text,Volume,GBA722019,9780007250608,"Piskic, Marc",,person,,"Piskic, Marc [person] ; Christie, Agatha, 1890-1976 [person]",The Agatha Christie adventures,,England,London,Harper,2007,,"46 pages, chiefly colour illustrations, 30 cm",741.5,YK.2009.b.1717,"Poirot, Hercule, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Detective and mystery ; Fiction,English,
"Train me, Gamble : an original graphic novel",,15595331,Monograph,Language material ; Text,Volume,GBB081688,9781600107665,"Solis, Rudy",,person,,"Solis, Rudy [person] ; Espina, Santiago, 1980- [person]",,,United States of America,"San Diego, California",,2010,,"1 volume (unpaged), chiefly illustrations (some colour), 26 cm",741.5973,YK.2011.b.9102,"Good and evil--Comic books, strips, etc--Fiction ; Soldiers--Comic books, strips, etc--Fiction ; Monsters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror ; Novel,English,
Trains are- mint,,14767214,Monograph,Language material ; Text,Volume,GBA965789,9781906653002,"East, Oliver",,person,,"East, Oliver [person]",Slate,1 [Slate],England,London,Blank Slate,2008,,"117 pages, chiefly illustrations (chiefly colour), 24 cm",741.5942,YK.2009.a.18234,"Railroad trains--England, North West--Comics books, strips, etc ; Comic books, strips, etc--England, North West",Comic or graphic novel,English,
Trainwreck Taghurt,"A story of derby love ; Don't ask, don't tell ; Flat Track U ; From geek to freak to emergency room ; Galzilla: beware the clownquistador ; Jam! : tales from the world of roller derby ; Mad Mazines ; Maybe it's all a dream ; Pinup ; Poor Frankis ; Reno: where dreams and derby socks come to die ; Roller derby: rules! ; Sisters of the Flat Track ; Skatertots ; Stripes ; This one's for you, Grandma! ; Time jam",15182023,Monograph,Language material ; Text,Volume,GBA948249,9781934964149,,,,,"Beaton, Jill [person] ; Rose City Rollers [organisation] ; Lewis, Jackie (Jackie Acki) [person]",,,United States of America,"Portland, Oregon",Oni Press,2010,,"183 pages, chiefly colour illustrations, 23 cm",741.5973,YK.2010.a.25662,"Roller skaters--Comic books, strips, etc--Fiction ; Roller skating--Comic books, strips, etc--Fiction ; Graphic novels ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,
Traitor to his kind,,15117698,Monograph,Language material ; Text,Volume,GBA940194,9781906735036,"Wagner, John",1949-,person,,"Ezquerra, Carlos [person] ; Wagner, John, 1949- [person]",Strontium dog,,England,Oxford,Rebellion,2009,,"200 pages, chiefly colour illustrations, 26 cm",741.5,YK.2011.b.11748,"Bounty hunters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Traitor's of the Earth,,16072979,Monograph,Language material ; Text,Volume,GBB240568,9781595829092 ; 9781595829108,"Sakai, Stan",,person,,"Sakai, Stan [person]",Usagi Yojimbo,book 26 [Usagi Yojimbo],United States of America,"Milwaukie, Oregon",Dark Horse,2012,,"197 pages, chiefly illustrations (some colour), 24 cm",741.5973,YK.2012.a.28959,"Samurai--Comic books, strips, etc ; Rōnin--Comic books, strips, etc",Adventure ; Comic or graphic novel ; Novel,English,'This volume collects issues 117-123 of the Dark Horse comic book series Usagi Yojimbo volume three along with stories fom the Dark Horse maverick 2001 and Myspace Dark Horse presents issue 35'--T.p. verso
Traitors to the crown,,19865926,Monograph,Language material ; Still image ; Text,Volume,GBC099766,9781302901370,"Moench, Doug",1948-,person,author,"Zeck, Mike, artist [person] ; Moench, Doug, 1948-, author [person] ; Goodwin, Archie, author [person]",Master of Kung-fu epic collection,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5973,,"Science fiction comic books, strips, etc ; Shang-Chi, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Trakk : monster hunter,,15899793,Monograph,Language material ; Text,Volume,GBB1B3594,9781582407395,"Winston, Stan",1946-2008,person,,"Winston, Stan, 1946-2008 [person] ; Takenaga, Francis [person] ; Suayan, Mico [person] ; Tan, Philip, 1978- [person]",,,England ; United States of America,"Berkeley, California ; London",Diamond ; Image,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Street life--Comic books, strips, etc--Fiction ; Monsters--Comic books, strips, etc--Fiction ; Heroes--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Trakk, monster hunter","Stan Winston's Trakk, monster hunter ; Stan Winston's Trakk, monster hunter. 1",13809178,Monograph,Language material ; Still image ; Text,Volume,,9781582407135,"Winston, Stan",1946-2008,person,author,"Takenaga, Francis, author [person] ; Winston, Stan, 1946-2008, author [person] ; Avalon Studios [organisation] ; Tan, Philip, 1978-, artist [person] ; Haberlin, Brian, author [person] ; Suayan, Mico, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2006,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.1727,,Comic or graphic novel,English,'Stan Winston comics'--Cover
Tramps like us. Vol. 12,,14926901,Monograph,Language material ; Text,Volume,GBA925690,9781598161991,"Ogawa, Yayoi",,person,,"Ogawa, Yayoi [person]",,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2009,,"1 volume, chiefly illustrations, 19 cm",741.5,,"Sumire (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Romance,English,
Trans formers animated : bots of science,'Bots of science ; Trans formers ; Transformers : bots of science ; Transformers animated (Television program),15619333,Monograph,Language material ; Text,Volume,GBB093315,9781600107672,"Bryant, Megan E.",,person,,"Robbins, Robbie [person] ; Boo, 1981- [person] ; Shalloo, Liam [person] ; Bryant, Megan E. [person] ; Isenberg, Marty [person]","Adventures in reading, junior graphic novel ; Transformers","4 [Adventures in reading, junior graphic novel]",United States of America,"San Diego, California",,2010,,"1 volume (unpaged), chiefly colour illustrations, 23 cm",741.5973,YK.2011.a.11548,"Robots--Comic books, strips, etc--Juvenile fiction ; Transformers (Fictitious characters)--Fiction ; Transformers (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Robots--Fiction ; Graphic novels ; Science fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,"'Based on the Transformers Animated: The arrival story 'Bots of science,' written by Marty Isenberg'--T.p. verso"
Trans formers,'Bots of science ; Trans formers animated : bots of science ; Transformers : bots of science ; Transformers animated (Television program),15619333,Monograph,Language material ; Text,Volume,GBB093315,9781600107672,"Bryant, Megan E.",,person,,"Robbins, Robbie [person] ; Boo, 1981- [person] ; Shalloo, Liam [person] ; Bryant, Megan E. [person] ; Isenberg, Marty [person]","Adventures in reading, junior graphic novel ; Transformers","4 [Adventures in reading, junior graphic novel]",United States of America,"San Diego, California",,2010,,"1 volume (unpaged), chiefly colour illustrations, 23 cm",741.5973,YK.2011.a.11548,"Robots--Comic books, strips, etc--Juvenile fiction ; Transformers (Fictitious characters)--Fiction ; Transformers (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Robots--Fiction ; Graphic novels ; Science fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,"'Based on the Transformers Animated: The arrival story 'Bots of science,' written by Marty Isenberg'--T.p. verso"
Transference,,19552648,Monograph,Language material ; Still image ; Text,Volume,GBB9G1562,9781401294076,"Grayson, Devin K.",,person,author,"Giordano, Dick, artist [person] ; Grayson, Devin K., author [person]",Batman. Gotham knights,,United States of America,"Burbank, California",DC Comics,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
