Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
10 dance. 5,Ten dance,19531608,Monograph,Language material ; Still image ; Text,Volume,GBB9F1541,9781632368256,"Inoue, Sato",,person,artist ; author,"Inoue, Sato, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2019,,"1 volume, chiefly illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
10 dance. 6,Ten dance,19634565,Monograph,Language material ; Still image ; Text,Volume,GBB9J5692,9781632369239,"Inoue, Sato",,person,artist ; author,"Inoue, Sato, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2020,,"1 volume, chiefly colour illustrations, 21 cm",741.5,,"Gay men--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,Translated from the Japanese
"10, 20, 30","Ten, twenty, thirty",13818409,Monograph,Language material ; Text,Volume,GBA764389,9781600091841,"Kang, Morim",,person,,"Kang, Morim [person]",,,England ; United States of America,"Jersey City, New Jersey ; London",Net Comics ; Turnaround,2007,,"1 volume, chiefly illustrations, 18 cm",741.5,,"Family--Comic books, strips, etc--Fiction ; Intergenerational relations--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Young adult fiction,English,
"10, 20, 30","Ten, twenty, thirty",14276515,Monograph,Language material ; Text,Volume,GBA791008,9781600091858,"Kang, Morim",,person,,"Kang, Morim [person]",,,England ; United States of America,"Jersey City, New Jersey ; London",Net Comics ; Turnaround,2008,,"1 volume, chiefly illustrations, 18 cm",741.5,,"Family--Comic books, strips, etc--Fiction ; Intergenerational relations--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Young adult fiction,English,
"10,000 bullets",10000 bullets ; Hitman. Ten thousand bullets ; Ten thousand bullets,15433802,Monograph,Language material ; Text,Volume,GBA9B6570,9781401218423 ; 9781848565524,"Ennis, Garth",,person,,"Ennis, Garth [person] ; McCrea, John, 1966- [person] ; Pugh, Steve, 1966- [person] ; Ezquerra, Carlos [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2010,,"174 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.1174,"Comic books, strips, etc",Comic or graphic novel,English,'2'--Spine ; 'Hitman created by Garth Ennis and John McCrea.' ; 'Originally published in single magazine form as Hitman 4-8 and Hitman Annual'--T.p. verso
"10,000 zombies : create more than 10,000 zombies and 10,000 stories",,15821422,Monograph,Language material ; Text,Volume,GBB168964,9781847738950,"Hartman, David",1949-,person,,"Hartman, David, 1949- [person] ; Cox, Alex, 1954- [person]",,,England,London,New Holland,2011,,"48 pages, chiefly colour illustrations, 22 cm",741.5,YK.2012.a.17548,"Zombies--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Split page format
100 Bullets : Brother Lono,Brother Lono,16621346,Monograph,Language material ; Still image ; Text,Volume,GBB413252,9781401245061,"Azzarello, Brian",,person,author,"Azzarello, Brian, author [person] ; Risso, Eduardo, illustrator [person]",,,United States of America,New York,DC Comics ; Vertigo,2014,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2015.b.254,COMICS & GRAPHIC NOVELS / Crime & Mystery,Comic or graphic novel ; Novel,English,
100 Bullets : the deluxe edition book five,One hundred bullets,16503820,Monograph,Language material ; Still image ; Text,Volume,GBB387423,9781401242718 ; 9781401261337,"Azzarello, Brian",,person,,"Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",,,United States of America,New York,DC Comics ; Vertigo,2013,,"1 volume (unpaged), colour illustrations, 29 cm",741.5973,YKL.2016.b.3310,COMICS & GRAPHIC NOVELS / Crime & Mystery,Comic or graphic novel ; Novel,English,'100 Bullets created by Brian Azzarello and Eduardo Risso'
100 Bullets : the deluxe edition book five,One hundred bullets,17725559,Monograph,Language material ; Still image ; Text,Volume,GBB615897,9781401242718 ; 9781401261337,"Azzarello, Brian",,person,,"Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",,,United States of America,New York,DC Comics ; Vertigo,2013,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2017.b.2781,COMICS & GRAPHIC NOVELS / Crime & Mystery,Comic or graphic novel ; Novel,English,'100 Bullets created by Brian Azzarello and Eduardo Risso'
100 bullets. Book 1,,16855906,Monograph,Language material ; Still image ; Text,Volume,GBB493064,9781401250560,"Azzarello, Brian",,person,author,"Azzarello, Brian, author [person] ; Risso, Eduardo, artist [person]",,,United States of America,New York,DC Comics,2014,,"1 volume (unpaged), chiefly colour illustrations",741.5,,"Graves, Agent (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
100 bullets. Book 2,100 bullets. Book two ; One hundred bullets. Book two,17094814,Monograph,Language material ; Still image ; Text,Volume,GBB529257,9781401254315,"Azzarello, Brian",,person,author,"Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",,,United States of America,New York,DC Comics,2015,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2016.b.5072,"Crime--Comic books, strips, etc ; Revenge--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
100 bullets. Book two,100 bullets. Book 2 ; One hundred bullets. Book two,17094814,Monograph,Language material ; Still image ; Text,Volume,GBB529257,9781401254315,"Azzarello, Brian",,person,author,"Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Azzarello, Brian, author [person] ; Robins, Clem, 1955-, illustrator [person]",,,United States of America,New York,DC Comics,2015,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2016.b.5072,"Crime--Comic books, strips, etc ; Revenge--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
100%,,14927200,Monograph,Language material ; Text,Volume,GBA925989,9781848562103,"Pope, Paul",,person,,"Pope, Paul [person]",,,England,London,Titan,2009,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Manhattan (New York, N.Y.)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
100%,Hundred percent ; One hundred percent,15490104,Monograph,Language material ; Text,Volume,GBB028541,9781845760373,"Pope, Paul",,person,,"Pope, Paul [person]",,,England,London,Titan,2010,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Manhattan (New York, N.Y.)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
